Latitude,Longitude,VCP20f925h0,VCP40f925h0,HCP10f925h0,HCP20f925h0,HCP40f925h0
0,15422,2.32488364581281,1.10634392594872,1.41796350014364,0.592309978243611,9.93612625885674
0.915492957746479,15422,2.26169852063009,1.14547995904572,1.92541857093284,0.768369788076567,9.40565910975073
1.07438016528926,15422,2.25073250716863,1.15227216313694,2.00349704761101,0.798925622840965,9.31359456321167
1.51162790697674,15422,2.22055471818553,1.170963887574,2.21836417335324,0.883013385177096,9.06023864056542
1.59509202453988,15422,2.21479422524905,1.17453186091527,2.25937912513822,0.895803845592596,9.01187674753093
1.78082191780822,15422,2.20197559408752,1.18247155197302,2.35064831769474,0.924266026912931,8.91414113455711
1.83098591549296,15422,2.19913294376782,1.18461599214272,2.37529931750703,0.931953409771613,8.88774361191464
2.14876033057851,15422,2.18112557624671,1.19820040032515,2.51279012507391,0.980650756558226,8.72052294162162
2.16666666666667,15422,2.18011087537846,1.19896587094496,2.52053762296062,0.983394813400964,8.71110018956543
2.39263803680982,15422,2.16730572393063,1.20869401129894,2.61830819445113,1.01802380067404,8.59218852711395
2.74647887323944,15422,2.14725457543321,1.2239269734108,2.77140378692592,1.07224814694256,8.41797771543916
3.02325581395349,15422,2.1315704175646,1.2358423099612,2.87600740782927,1.11466283492448,8.28170871952226
3.19018404907975,15422,2.12211107176183,1.24302862431297,2.93909538683563,1.1345507495918,8.19952288810093
3.22314049586777,15422,2.12024352415155,1.24444740997471,2.95155077295718,1.13847719739114,8.18437482462618
3.56164383561644,15422,2.10106150773801,1.25902008790855,3.079482944381,1.17880665711636,8.02878553704579
3.66197183098592,15422,2.09643694519996,1.26333924046212,3.1174003791447,1.19075978541214,7.98267089210464
3.98773006134969,15422,2.08142130272594,1.27736323732701,3.22394580332514,1.2295707863357,7.83293975201196
4.29752066115702,15422,2.06714167920477,1.29069982254734,3.32526871027588,1.26647939564945,7.70031771762492
4.33333333333333,15422,2.06549091421615,1.29224156963309,3.33698192576026,1.27074613559139,7.68498623421705
4.53488372093023,15422,2.05620056241974,1.30062659742994,3.40290281290489,1.29475895107861,7.5987020717821
4.57746478873239,15422,2.05423781204022,1.30239808217575,3.41682976089319,1.29857402764964,7.58047302338035
4.78527607361963,15422,2.04465886770335,1.31104357981559,3.47500307187777,1.31719300563891,7.49150855710064
5.34246575342466,15422,2.01897552268756,1.33422414031456,3.6309790504599,1.36711475262088,7.26990315900209
5.37190082644628,15422,2.01788314439798,1.33544871699948,3.63921890931872,1.36975200582395,7.25819624605765
5.49295774647887,15422,2.01339054636195,1.34048500421071,3.67310677955499,1.3805981739267,7.21004950549743
5.58282208588957,15422,2.01005555027386,1.3442235977847,3.69435002838853,1.388649623868,7.17430867354781
6.04651162790698,15422,1.99284735824954,1.36351430590627,3.80396272222435,1.43019416935004,7.00344886753514
6.38036809815951,15422,1.98045745999204,1.37740361575381,3.88288386178614,1.45163713072753,6.88042980720601
6.40845070422535,15422,1.97941527371451,1.37857192624568,3.88952237704662,1.45344082270568,6.87087144751194
6.44628099173554,15422,1.97801133682825,1.38014576599919,3.89694895252803,1.45587058958534,6.85799531007283
6.5,15422,1.97601774644977,1.38238061844917,3.90749468971162,1.45932085855446,6.83971119490929
7.12328767123288,15422,1.95288663616788,1.40654624533789,4.029854133472,1.49935343138794,6.62756536554606
7.17791411042945,15422,1.95127279525965,1.4086641793334,4.04057801110218,1.50286198290709,6.60897239189459
7.32394366197183,15422,1.94695861209935,1.41432592401434,4.06924550369667,1.51224118119349,6.56321158229688
7.52066115702479,15422,1.94114694387514,1.42195290238619,4.1006344932763,1.52487596896773,6.50156685531816
7.55813953488372,15422,1.94003971191471,1.4234059850277,4.10661468538762,1.52728313336479,6.48982237692239
7.97546012269939,15422,1.92771071799954,1.43958601566778,4.17320394110574,1.54509242879132,6.3590479702456
8.23943661971831,15422,1.91991200228668,1.44982070797564,4.21532503212494,1.55635771394219,6.28316335661302
8.59504132231405,15422,1.90940629434292,1.46360793810937,4.26013686710712,1.5715332633603,6.18093862915757
8.66666666666667,15422,1.90729025104078,1.46638494049091,4.26916279699006,1.57458989884593,6.16034868405307
8.77300613496933,15422,1.90414864073943,1.47009475542552,4.28256325730706,1.57912797116202,6.12977956310037
8.9041095890411,15422,1.90027542255968,1.47466849986545,4.29908437276637,1.5847228548394,6.0953448997069
9.06976744186047,15422,1.8964276196865,1.48044772733605,4.31995989074984,1.59179235902089,6.05183443355857
9.15492957746479,15422,1.89444952384324,1.48341873864136,4.33069167112163,1.59388682709878,6.02946637701752
9.57055214723926,15422,1.88479568799471,1.49791836743506,4.37040116450785,1.60410860228876,5.92030202745678
9.6694214876033,15422,1.88249920928605,1.50136757553542,4.37984735848961,1.60654018383384,5.89668141285064
10.0704225352113,15422,1.87318499352823,1.51535711017344,4.41815987952642,1.61640235893616,5.80087930506546
10.3680981595092,15422,1.86627075974482,1.52574197944461,4.43840714781359,1.62372336008573,5.72976240296727
10.5813953488372,15422,1.86131641846869,1.5331831780053,4.45291517287412,1.62896916740353,5.68364415194943
10.6849315068493,15422,1.85891154167295,1.53679519517443,4.45995748402619,1.6299692166402,5.66125798483833
10.7438016528926,15422,1.85785106226117,1.53884897022597,4.46396170722671,1.63053783967726,5.64852932122474
10.8333333333333,15422,1.85623824982242,1.54197241978351,4.47005146334416,1.63140262054611,5.62917114531243
10.9859154929577,15422,1.8534896539761,1.54658729598286,4.48042978010771,1.63287640202682,5.59618045115198
11.1656441717791,15422,1.85025204414485,1.55202322377596,4.48821565364566,1.63461239002864,5.55732024698754
