Latitude,Longitude,VCP10f925h0,VCP20f925h0,VCP40f925h0,HCP10f925h0,HCP40f925h0
2.99295774647887,1504,30.518582522895,3.94128583979963,1.6299812705725,25.3169284451902,4.04413937551304
3.49315068493151,1504,29.6206749307155,3.95831349326164,1.64820629629394,23.38635821334,4.09439040073199
3.59154929577465,1504,29.4440373715982,3.96166319558204,1.65179154725553,23.0065739054351,4.10231596042961
3.86363636363636,1504,28.9556077573724,3.97092563002859,1.66170530938418,21.9564127510009,4.11030032006352
3.984375,1504,28.7615213273241,3.97503583531425,1.66518505498926,21.4904037387208,4.11384337965107
4.19014084507042,1504,28.4307543127346,3.96749861833269,1.67111532566835,20.6962193656799,4.11988155162421
4.32203389830508,1504,28.2187372432906,3.96266736676978,1.67491654693568,20.1871581959033,4.18399595948447
4.65753424657534,1504,27.679423011849,3.95037796606075,1.6845858284313,19.2294031737923,4.22703165791122
4.7887323943662,1504,27.4685229975653,3.94557216893178,1.68836702218932,18.8548709696196,4.24363550429605
5.15151515151515,1504,26.8853525035233,3.93228341171911,1.6988225958384,17.8192326777785,4.24467306703024
5.3125,1504,26.6599566331356,3.92638652570599,1.70245202062491,17.359668185774,4.24513348549354
5.38732394366197,1504,26.5551951722512,3.91988481767642,1.70413893637075,17.1460677880818,4.24534748280747
5.76271186440678,1504,26.029612249848,3.88726607908739,1.71260210689228,16.0744454538971,4.29413887038321
5.82191780821918,1504,25.9467176460184,3.88212147240878,1.71393691275757,15.9573247089512,4.32527108235475
5.98591549295775,1504,25.7171034851758,3.86787115343986,1.71763426233751,15.6329057440775,4.34024241843519
6.43939393939394,1504,25.0821855404217,3.82846686235156,1.7278579941305,14.735838151813,4.35327326987361
6.58450704225352,1504,24.9109457558267,3.81585748920331,1.73040066757797,14.4487765222883,4.35744314233391
6.640625,1504,24.8447241203779,3.81098120818113,1.73138396707524,14.3377644077456,4.36049233855683
6.98630136986301,1504,24.436810941289,3.76954076708924,1.73744091238032,13.6539500583477,4.37927483035921
7.1830985915493,1504,24.2045816443726,3.74594828468852,1.74088919554881,13.2646473004992,4.40119714390557
7.20338983050847,1504,24.1806370982216,3.74351572647489,1.74124473886986,13.2245073268792,4.41410912580137
7.72727272727273,1504,23.5624324521415,3.68071149623198,1.75042422097685,12.5847170403315,4.43672245878529
7.78169014084507,1504,23.5105382907347,3.67418781738633,1.7511675211748,12.5182599507077,4.43907137893679
7.96875,1504,23.332152110899,3.65176267135439,1.75372261560527,12.2898137051259,4.44134918453539
8.15068493150685,1504,23.1586532236615,3.6259554915306,1.7562077074486,12.0676262607929,4.44356458450116
8.38028169014085,1504,22.9397025152604,3.5933875575558,1.75934382335229,11.787231964846,4.45849406356818
8.64406779661017,1504,22.6881477667463,3.55596991912712,1.76294693956609,11.465084038873,4.46911860076187
8.97887323943662,1504,22.3688667397861,3.50847830112148,1.76752012552977,11.2724777752404,4.4906628011824
9.01515151515152,1504,22.3342706321816,3.50333228558001,1.76801565899507,11.2516076750488,4.49125385181591
9.31506849315068,1504,22.1163883542994,3.46078954065837,1.77127323372755,11.0790719837388,4.49614014027236
9.57746478873239,1504,21.9257639255972,3.42356904468716,1.77412327425572,10.928121122079,4.50040196027661
10.0847457627119,1504,21.5572368256168,3.35161204770892,1.77963315133613,10.6362934499084,4.50866908530327
10.1760563380282,1504,21.4909019476203,3.33865978825284,1.78062492921061,10.6333746649199,4.52375658847692
10.3030303030303,1504,21.3986584977464,3.32064873385768,1.78200406814043,10.6293158831009,4.52626499400047
10.4794520547945,1504,21.3098318983786,3.29562358978613,1.78359735925381,10.6236764797907,4.52975025412125
10.625,1504,21.2365499539002,3.2749778459271,1.78491182442235,10.6190239720598,4.53103651951143
10.7746478873239,1504,21.1612037292956,3.25364365662562,1.78626331677874,10.6142404077731,4.53235901772951
11.3732394366197,1504,20.8598188308773,3.16830689941968,1.79166928620428,10.5951061506263,4.53571183011336
11.5254237288136,1504,20.7831955516185,3.14661111368935,1.79304368521077,10.5902415089788,4.54560262664574
11.5909090909091,1504,20.7502243223616,3.13727535134479,1.79363509326811,10.6175320179797,4.54747588356475
11.6438356164384,1504,20.7349321455587,3.1297300091759,1.79406209907165,10.6395887307338,4.54898988573217
11.953125,1504,20.6455684873665,3.08563691587642,1.79655741423612,10.7684826458907,4.55257087179733
11.9718309859155,1504,20.6401637259348,3.08315725021474,1.79670833222038,10.7762782182241,4.55278745173333
12.5704225352113,1504,20.4672113601214,3.00380794904107,1.80153770771683,11.025736532894,4.55317900867978
12.8082191780822,1504,20.3985042558942,2.97228562391729,1.80345622674966,11.1248364113245,4.55856291669342
12.8787878787879,1504,20.3781146868236,2.96293103631524,1.80402556782106,11.1542453616634,4.559305527848
12.9661016949153,1504,20.3705681011735,2.95135671606187,1.80471275736836,11.1906327069979,4.56022435181893
13.169014084507,1504,20.3530302612824,2.9244586478674,1.80630974716137,11.3486253580906,4.56206090578011
13.28125,1504,20.3433296435927,2.90958065389734,1.80719308214063,11.4360150432263,4.56229032537125
13.7676056338028,1504,20.3012936336037,2.85261959274339,1.81102086705076,11.8147036788142,4.56328447693286
13.972602739726,1504,20.283575610426,2.82861071554468,1.81263426427315,11.9743195420757,4.56463914499484
14.1666666666667,1504,20.2668025484845,2.80588231179656,1.81416161364368,12.1254225592966,4.56493518140391
14.3661971830986,1504,20.2869515088261,2.78251367132315,1.81582492570076,12.2807819995377,4.56523955686676
14.406779661017,1504,20.2910496024549,2.77776072749805,1.81616322645813,12.3123805297563,4.56535507623904
